Original Orbis Name,Original Kununu Name,Similarity Score,Orbis Name (after preprocessing),Kununu Name (after preprocessing),Orbis ID,Kununu ID,NACE Code,Employees,City,Kununu Name Translated
hh deutschland gmbh,hh global,100.0,hh,hh,8432458,000ca2b6-d6c8-4c0e-8014-e652e677d98f,C - Manufacturing,255.0,WITTENBORN,hhglobal
novomind management group gmbh,novomind,100.0,novomind,novomind,125678236,002e887a-d4ce-4f90-b25d-55e42c5da93e,N - Administrative and support service activities,456.0,HAMBURG,novomind
frutarom germany gmbh,frutarom production gmbh,100.0,frutarom,frutarom,11457284,005564fa-f920-4a8f-a04a-f041f3de4754,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,80.0,EMMERICH,frutarom production gmbh
nsc holding gmbh & cie kg,nsc global,100.0,nsc,nsc,13932899,0058e653-ff9b-4a62-9062-32cb21bf0e94,K - Financial and insurance activities,58.0,HAMBURG,nscglobal
akko gmbh,akko gmbh personaldienstleistungen,100.0,akko,akko,142011338,00666dd9-8e64-44ed-8c33-b4fc33cad623,N - Administrative and support service activities,455.0,LANDAU,akko gmbh personnel services
bauunternehmen e mayr gmbh,mayr antriebstechnik,100.0,mayr,mayr,2753223,00922efa-873d-450a-b433-692e0ae21459,F - Construction,57.0,OBERMEITINGEN,mayr drive technology
diederichs projektmanagement ag & co kg,diederichs projektmanagement,100.0,diederichs,diederichs,8892566,00b33b12-bccc-4f5f-8e45-e090b4c08d4a,"M - Professional, scientific and technical activities",203.0,BERLIN,diederichs project management
mvz zahnkultur berlinbrandenburg gmbh,zahnkultur,100.0,zahnkultur,zahnkultur,416107080,00c2a195-2b5d-473f-88c5-f556d2e28783,Q - Human health and social work activities,90.0,BERLIN,dental culture
eurofins phast gmbh,phast gmbh,100.0,phast,phast,8436772,00dcdef2-85e3-44af-9bd0-04538a43b0ff,C - Manufacturing,273.0,HOMBURG,phast gmbh
system 180 gmbh,180 sicherheit gmbh,100.0,180,180,549834722,01053872-c3df-4fe0-a553-9cdef147ff7f,C - Manufacturing,57.0,BERLIN,180 security gmbh
us top clean gmbh,uss karlsruhe,100.0,us,us,2484017,01097402-1b1e-4a37-9d5f-41a59bf2acca,N - Administrative and support service activities,122.0,LEMGO,uss karlsruhe
voith gmbh & co kgaa,voith group,100.0,voith,voith,2745118,010d4234-1765-4652-a17a-5511f802c87f,"M - Professional, scientific and technical activities",274.0,HEIDENHEIM,voithgroup
kistler beteiligungsgesellschaft mbh,kistler gruppe deutschland,100.0,kistler,kistler,41225781,014b8858-6b9c-4f1e-aa54-5c09dab2ae06,K - Financial and insurance activities,703.0,SINDELFINGEN,kistler group germany
pufas werk kg,pufas werk gmbh & co kg,100.0,pufas,pufas,2310906,0155460c-2946-412c-a0c6-6624af1342ff,C - Manufacturing,212.0,HANN. MUENDEN,pufas werk gmbh &amp; co kg
svt products gmbh,svt unternehmensgruppe,100.0,svt,svt,396221821,016fd84e-bc81-4a1b-b042-af216c572e58,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,63.0,SEEVETAL,svt group of companies
amphenoltuchel electronics gesellschaft mit beschraenkter haftung,amphenoltuchel electronics gesellschaft mit beschrnkter haftung,100.0,amphenoltuchel,amphenoltuchel,2668352,018573e9-420c-4cef-8de0-9067277661db,C - Manufacturing,168.0,HEILBRONN,amphenoltuchel electronics limited liability company
igema gesellschaft mit beschraenkter haftung,igema gesellschaft mit beschrnkter haftung,100.0,igema,igema,2452879,0186c740-0ca8-4ea4-81a6-da8bc357c8bb,C - Manufacturing,77.0,MUENSTER,igema limited liability company
haus flammberg seniorenresidenz gmbh,haus flammberg,100.0,flammberg,flammberg,41177146,0188a1bf-1e52-4a5f-bd60-e0bd2476de89,Q - Human health and social work activities,67.0,ARNSBERG,house flammberg
securiton beteiligungsgmbh,securiton deutschland,100.0,securiton,securiton,2658752,018ae80e-61c1-41d8-9772-db9e6359a1b2,"M - Professional, scientific and technical activities",2216.0,SULZBURG,securiton germany
ast deutschland gmbh,ast gmbh,100.0,ast,ast,187071731,019389ac-4385-479f-b52e-1c58f5961d0e,C - Manufacturing,127.0,DORTMUND,ast gmbh
aeneas consulting gmbh,aeneas group,100.0,aneas,aneas,346324969,01a8d66d-2457-4210-a727-af60ba43a471,N - Administrative and support service activities,86.0,BERLIN,aeneasgroup
stadtwerke ingolstadt energie gmbh,technische hochschule ingolstadt,100.0,ingolstadt,ingolstadt,2768707,01ae1e23-3d94-4b2e-a785-d401a8b23529,"D - Electricity, gas, steam and air conditioning supply",48.0,INGOLSTADT,technical college ingolstadt
zeitwerk personal gmbh,zeitwerk gmbh,100.0,zeitwerk,zeitwerk,229303664,01d078f0-3216-47c2-93c9-010162d655fa,N - Administrative and support service activities,100.0,BERLIN,e-commerce gmbh
aconext stuttgart gmbh,aconext,100.0,aconext,aconext,161285195,01e1e322-3db8-4ce3-ad2a-7691ff4cbe91,"M - Professional, scientific and technical activities",260.0,FELLBACH,aconext
kursana management und betriebsgesellschaft mbh,kursana deutschland,100.0,kursana,kursana,13927950,01eb2ec8-fcca-4ce8-ac45-9a9352e8298c,"M - Professional, scientific and technical activities",89.0,BERLIN,kursana germany
sbr transport und dienstleistungs gmbh,sbr ggmbh,100.0,sbr,sbr,266478839,01fc7ba4-a602-4044-a25d-8dce3cabbb71,H - Transportation and storage,36.0,DOERENTRUP,sbr gmbh
ratio gmbh & co kommanditgesellschaft,digital ratio gmbh,100.0,ratio,ratio,2490017,020ec3b4-d98d-4fbb-9ee0-0ad5072e71fb,N - Administrative and support service activities,35.0,MUENSTER,digital ratio gmbh
hmp hamburger montage personal gmbh,hmp umformtechnik gmbh,100.0,hmp,hmp,413261897,0227c645-9336-42e2-b1ec-61ef92e3fda2,N - Administrative and support service activities,48.0,HAMBURG,hmp forming technology gmbh
krokoszinski sicherheitsdienst gmbh & co kg,krokoszinski sicherheitsdienst,100.0,krokoszinski,krokoszinski,129459296,0228c460-91f6-4dfe-979a-d8698d853315,N - Administrative and support service activities,350.0,BRAUNSCHWEIG,krokoszinski security service
nagel transthermos gmbh & co kg,transthermos,100.0,transthermos,transthermos,349420805,022f0236-5329-4f1e-ba7d-fd2777c7ebf4,H - Transportation and storage,1097.0,VERSMOLD,transthermos
the coatinc company holding gmbh,the coatinc company,100.0,coatinc,coatinc,2510995,023cadd2-cf22-4bb3-8f92-86a8dd390192,"M - Professional, scientific and technical activities",966.0,KREUZTAL,the coating company
scotch & soda retail gmbh,scotch & soda,100.0,scotch soda,scotch soda,98249619,026538e8-a0e9-410c-91c0-2fb1746e168f,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,285.0,DUESSELDORF,scotch &amp; soda
ambulante dienste dr loew gmbh & co kg,dr loew soziale dienstleistungen gmbh & co kg,100.0,low,low,60526282,0265ccfd-4843-4ed9-8dfd-94b47fe83ac8,Q - Human health and social work activities,70.0,WERNBERG-KOEBLITZ,dr loew social services gmbh &amp; co kg
dr rentschler holding gmbh & co kg,edeka rentschler,100.0,rentschler,rentschler,2825761,02692db7-d730-4a63-ba43-735eb37a4a97,"M - Professional, scientific and technical activities",1145.0,LAUPHEIM,edeka rentschler
alten und pflegeheim klinger gmbh,klinger group,100.0,klinger,klinger,2838341,026f2c9b-a121-40d5-b4e9-0e11902b9443,Q - Human health and social work activities,31.0,MAROLDSWEISACH,klingergroup
heimstaden germany gmbh,heimstaden,100.0,heimstaden,heimstaden,461481338,0276d305-6332-420b-ad24-e151fcea7992,L - Real estate activities,135.0,BERLIN,hometown
holman gmbh,holman deutschland,100.0,holman,holman,156927887,0278c57b-70d2-443e-b7da-a6f9cff3ec8a,N - Administrative and support service activities,191.0,STUTTGART,holman germany
sthree gmbh,sthree group,100.0,sthree,sthree,41202145,02851f45-1149-4881-a1f3-fd5a74cdae3d,"M - Professional, scientific and technical activities",766.0,FRANKFURT,sthreegroup
intertek deutschland gmbh,intertek group,100.0,intertek,intertek,2737896,02b2bf52-d76b-4fdd-a18b-8334516805c0,"M - Professional, scientific and technical activities",158.0,LEINFELDEN-ECHTERDINGEN,intertekgroup
merck finck a quintet private bank europe sa branch,merck finck a quintet private bank,100.0,merck finck quintet,merck finck quintet,493305601,02b983a3-ea0b-45a8-aa6a-c67adeb3016c,K - Financial and insurance activities,260.0,MUENCHEN,merck finck a quintet private bank
collogia it services gmbh,collogia unternehmensberatung ag,100.0,collogia,collogia,343156851,02c0747d-da2b-408d-a00d-3399fc778778,J - Information and communication,36.0,KOELN,collogia management consultancy ag
tabel gmbh,tabel gruppe,100.0,tabel,tabel,31130849,02c6cada-c039-4183-81de-e315f8f62968,H - Transportation and storage,802.0,LAATZEN,table group
volksbank meerbusch eg,stadt meerbusch,100.0,meerbusch,meerbusch,49041395,02ca4bc0-eb24-40ea-afea-0fcbafbac8ce,K - Financial and insurance activities,65.0,MEERBUSCH,city of meerbusch
salt and pepper holding gmbh & co kg,salt and pepper,100.0,salt pepper,salt pepper,51394171,02cb5f07-f33d-4c9a-ae17-cbac782ca8d7,"M - Professional, scientific and technical activities",484.0,BREMEN,salt and pepper
akkodis germany consulting gmbh,akkodis,100.0,akkodis,akkodis,2733096,02d11bdd-9a51-4606-b367-583de74abf58,"M - Professional, scientific and technical activities",1970.0,SINDELFINGEN,accodis
goldman sachs bank europe se,goldman sachs ag,100.0,goldman sachs,goldman sachs,6754205,02d6ef61-15f9-4eb2-bb87-527c61be9fcd,K - Financial and insurance activities,1028.0,FRANKFURT,goldman sachs ag
manus zeitarbeit frankfurt gmbh,manus gmbh,100.0,manus,manus,2608646,02eed158-52c4-4970-94e2-7eba66009e3e,N - Administrative and support service activities,123.0,FRANKFURT,manus gmbh
