orbis_name,id,original_orbis_name,kununu_name,kununu_id,original_kununu_name,match_type,Unnamed: 0
volkswagen ag,6740194,volkswagen ag,volkswagen ag,c3691ef6-7885-471b-bc3f-3ea6e219c84d,volkswagen ag,exact_match,
deutsche telekom ag,60521683,deutsche telekom ag,deutsche telekom ag,ea360420-065c-4ca1-867b-4b177ce8224c,deutsche telekom ag,exact_match,
rwe supply und trading gmbh,2547728,rwe supply und trading gmbh,rwe supply und trading gmbh,94882b79-73bb-4a4c-8439-5df7578d22d0,rwe supply und trading gmbh,exact_match,
vng ag,2411919,vng ag,vng ag,90b74e1a-70f4-4bc2-93a3-63f1461b9966,vng ag,exact_match,
siemens ag,58499834,siemens ag,siemens ag,a1b2471b-40a3-4d19-a847-9b0f96b48e60,siemens ag,exact_match,
deutsche bahn ag,60518578,deutsche bahn ag,deutsche bahn ag,4cd02b99-e78a-4523-a1ca-453cd3fb5ab9,deutsche bahn ag,exact_match,
audi ag,2765780,audi ag,audi ag,4f61a38b-d9a1-4fcf-8cfb-17faa4e27e66,audi ag,exact_match,
edeka zentrale stiftung und co kg,2343460,edeka zentrale stiftung und co kg,edeka zentrale stiftung und co kg,afccc686-2df4-4d70-b375-648a59e39d1c,edeka zentrale stiftung und co kg,exact_match,
fresenius se und co kgaa,2650128,fresenius se und co kgaa,fresenius se und co kgaa,cea1ba69-a7d4-4a90-9a08-6f656fc026ce,fresenius se und co kgaa,exact_match,
continental ag,2345168,continental ag,continental ag,bb335626-f048-4584-a0a6-ac546c61e266,continental ag,exact_match,
traton se,2306468,traton se,traton se,f1e4d584-4e19-4c27-b9ac-3024f8ffd57b,traton se,exact_match,
vng handel und vertrieb gmbh,149480669,vng handel und vertrieb gmbh,vng handel und vertrieb gmbh,79b0d64b-7e9a-4845-9cc1-42a71368a71c,vng handel und vertrieb gmbh,exact_match,
hapaglloyd ag,17595801,hapaglloyd ag,hapaglloyd ag,c3577b95-4c8b-4c58-a2c1-c86e6c49da7e,hapaglloyd ag,exact_match,
